"avellaneda_sab_cuba" "bazan_various_spain" "carrasquilla_frutosDeMiTierra_colombia" "cuervo_apuntacionesCriticas_colombia" "diaz_manuela_colombia" "galdos_trafalgar_spain" "hernandez_martinFierro_argentina" "isaacs_maria_colombia" "lizardi_periquilloFull_mexico" "marmol_amalia_argentina" "martí_nuestraAmerica_cuba" "mitre_soledad_bolivia" "palacios_elAlferezReal_colombia" "samper_dolores_colombia"
"a" 2.48767538869928 2.55558718410981 0.144467330358165 0.232572902659872 2.36155096134458 2.58442318953738 0.615367557378867 2.61955188942147 2.50773441218467 2.52384084182835 2.32315030955039 2.86677108548104 2.54497692409655 2.45707823583839
"abordaje" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0 0 0 0
"absorto" 0.00189609404626469 0 0 0.000577103976823504 0 0.00780792504391958 0 0 0 0.00129804946433825 0 0 0 0
"acción" 0.00379218809252939 0.0126514217035139 0.00429110882251974 0.0121191835132936 0 0.037087643958618 0 0 0.00148738695859115 0.0199034251198532 0.00507459656957272 0.0047463097441739 0.00241001602660658 0.0102806620746376
"acerqueme" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"achilles" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"acordé" 0 0 0.00143036960750658 0 0.00355833896737003 0.00975990630489947 0.00277192593413904 0 0.00446216087577344 0.000432683154779418 0.000507459656957272 0 0 0
"ademán" 0.00379218809252939 0 0.00572147843002632 0 0.00118611298912334 0.0117118875658794 0 0.00557351465834355 0 0 0.000507459656957272 0 0.00361502403990987 0.0102806620746376
"además" 0.0132726583238529 0.0189771325552709 0.0157340656825724 0 0.00830279092386341 0.0351356626976381 0 0 0 0.0181726925007356 0.00456713691261545 0.0142389292325217 0.0361502403990987 0.0205613241492752
"advertí" 0 0 0 0 0 0.0175678313488191 0 0 0.0223108043788672 0 0 0 0 0.0051403310373188
"agua" 0.00568828213879408 0.0442799759622988 0.0243162833276119 0.0311636147484692 0.0427000676084404 0.0644153816123365 0.0277192593413904 0.0111470293166871 0.0297477391718229 0.0229322072033092 0.0238506038769918 0.0427167876975651 0.0204851362261559 0.025701655186594
"álava" 0 0 0 0 0 0.0253757563927386 0 0 0 0 0 0 0 0
"alborozo" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0.00241001602660658 0
"alcalá" 0 0 0 0.00230841590729402 0 0.0195198126097989 0 0 0 0 0.000507459656957272 0 0.00120500801330329 0
"alcázar" 0 0 0 0.00346262386094103 0 0.0448955690025376 0 0 0 0 0 0 0.00120500801330329 0
"alcedo" 0 0 0 0.00115420795364701 0 0.00585594378293968 0 0 0 0 0 0 0 0
"algeciras" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"algunos" 0.0455062571103527 0.00632571085175697 0.017164435290079 0.0779090368711731 0.0628639884235372 0.0975990630489947 0.0249473334072514 0.0780292052168097 0.0475963826749167 0.0514892954187508 0.0131939510808891 0.156628221557739 0.0385602564257052 0.195332579418115
"almirante" 0 0 0 0.000577103976823504 0 0.0390396252195979 0 0 0 0.00432683154779418 0.000507459656957272 0 0 0
"almirantes" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"alonsito" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"alonso" 0 0 0 0.00519393579141154 0 0.0995510443099746 0 0 0 0 0.00101491931391454 0 0 0
"amanecer" 0.00379218809252939 0.00948856627763545 0.00143036960750658 0.00461683181458803 0.00593056494561672 0.0156158500878392 0 0.00557351465834355 0.00148738695859115 0.000432683154779418 0.00253729828478636 0 0.00482003205321315 0.0051403310373188
"américa" 0.00758437618505878 0.00316285542587848 0.00429110882251974 0.0144275994205876 0.00355833896737003 0.00975990630489947 0 0.00557351465834355 0.00446216087577344 0.0173073261911767 0.345580026387902 0.00949261948834781 0.00120500801330329 0.0051403310373188
"amita" 0 0 0 0 0 0.0409916064805778 0 0 0 0 0 0 0 0
"amo" 0.0701554797117937 0.00316285542587848 0.0071518480375329 0.00865655965235256 0.072352892336524 0.212765957446809 0 0.0390146026084049 0.101142313184198 0.0129804946433825 0.00964173348218817 0.0759409559067825 0.0602504006651644 0.0051403310373188
"ana" 0 0.00316285542587848 0.00286073921501316 0.00288551988411752 0 0.0800312317001757 0 0 0 0 0 0 0.00120500801330329 0
"ancianidad" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"andalucía" 0 0 0 0.00403972783776453 0 0.00780792504391958 0 0 0 0 0 0 0.00120500801330329 0
"andanada" 0 0 0 0 0 0.0214717938707788 0 0 0 0 0 0 0 0
"angustia" 0 0.00948856627763545 0.0071518480375329 0 0.00118611298912334 0.0195198126097989 0.00277192593413904 0.00557351465834355 0.00148738695859115 0.000865366309558836 0.00862681416827362 0 0.00361502403990987 0.025701655186594
"anque" 0 0 0 0.000577103976823504 0 0.00585594378293968 0 0 0 0 0 0 0 0
"ansiedad" 0.0151687523701176 0.00316285542587848 0.00143036960750658 0.000577103976823504 0 0.0195198126097989 0 0.0111470293166871 0 0.00346146523823535 0.00101491931391454 0 0.00602504006651644 0
"ante" 0.00568828213879408 0.0379542651105418 0.0300377617576382 0.00923366362917607 0.00237222597824669 0.0507515127854773 0.00277192593413904 0.0445881172667484 0.00446216087577344 0.013413177798162 0.046686288440069 0.00949261948834781 0.0180751201995493 0.0411226482985504
"aparejo" 0 0 0 0.000577103976823504 0.00118611298912334 0.0117118875658794 0 0 0 0 0 0 0 0
"apresado" 0 0 0 0 0 0.0195198126097989 0 0 0 0 0 0 0 0
"apresados" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"aquel" 0.24649222601441 0.101211373628111 0.0286073921501316 0.0548248777982329 0.0284667117389603 0.203006051141909 0.23006985253354 0.144911381116932 0.0758567348881485 0.0887000467297807 0.0984471734497108 0.151881911813565 0.0265101762926723 0.0925259586717385
"aquella" 0.195297686765264 0.113862795331625 0.0286073921501316 0.0288551988411752 0.0154194688586035 0.154206519617412 0.0803858520900322 0.161631925091963 0.0520585435506901 0.0865366309558836 0.0695219730031462 0.161374531301913 0.0120500801330329 0.0925259586717385
"arboladura" 0 0 0 0 0 0.0175678313488191 0 0 0 0 0 0 0 0
"ardor" 0.00379218809252939 0.00316285542587848 0 0.00115420795364701 0.00118611298912334 0.0136638688268593 0.00277192593413904 0 0 0.000865366309558836 0.00405967725565818 0.0047463097441739 0.00482003205321315 0
"arena" 0 0.0126514217035139 0 0.00461683181458803 0.00237222597824669 0.0156158500878392 0.00277192593413904 0 0.00148738695859115 0.00129804946433825 0.00710443519740181 0.0047463097441739 0 0.0154209931119564
"argonauta" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0 0 0 0
"armamento" 0 0 0 0 0 0.00780792504391958 0 0 0 0 0 0 0 0
"arrojados" 0 0 0 0.000577103976823504 0 0.00780792504391958 0 0 0 0.000432683154779418 0 0 0 0
"arrostrar" 0 0.00316285542587848 0.00143036960750658 0 0 0.00585594378293968 0 0 0 0.000432683154779418 0.000507459656957272 0 0 0
"artillería" 0 0 0 0.00173131193047051 0 0.0527034940464572 0 0 0.00148738695859115 0.00778829678602953 0.00152237897087182 0 0 0
"asís" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0.00120500801330329 0
"asistido" 0.00189609404626469 0 0.00143036960750658 0 0 0.00780792504391958 0 0 0.00148738695859115 0.00173073261911767 0 0 0 0
"asombro" 0.00189609404626469 0.00948856627763545 0 0.00230841590729402 0 0.0136638688268593 0.00277192593413904 0 0 0.000865366309558836 0.00659697554044453 0 0.00602504006651644 0
"astillazo" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"asturias" 0 0 0 0.00230841590729402 0 0.0136638688268593 0 0 0 0 0 0 0 0
"atacar" 0 0 0 0.000577103976823504 0 0.00780792504391958 0 0 0 0.00129804946433825 0 0.0047463097441739 0 0
"atacarnos" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"aumentó" 0.00189609404626469 0 0 0 0 0.00585594378293968 0 0 0 0.000432683154779418 0 0 0.00120500801330329 0
"aún" 0.100492984452029 0.0600942530916912 0.027177022542625 0.00403972783776453 0.00474445195649338 0.0858871754831154 0 0.0836027198751533 0.0193360304616849 0.0203361082746327 0.0598802395209581 0.0617020266742608 0.00843505609312302 0.0205613241492752
"auxilio" 0.00568828213879408 0 0 0.00346262386094103 0.00237222597824669 0.0253757563927386 0.00277192593413904 0.00557351465834355 0.0118990956687292 0.00432683154779418 0.00152237897087182 0 0.00361502403990987 0
"avanzada" 0.00379218809252939 0 0 0 0 0.00780792504391958 0 0 0.00148738695859115 0.000432683154779418 0.00152237897087182 0 0.00241001602660658 0
"averías" 0 0 0 0 0 0.0136638688268593 0 0 0 0 0 0 0 0
"babor" 0 0 0 0 0 0.0214717938707788 0 0 0.00148738695859115 0.000432683154779418 0 0 0 0
"bahama" 0 0.00316285542587848 0 0 0 0.0253757563927386 0 0 0 0 0 0 0 0
"bahía" 0.00189609404626469 0 0 0.000577103976823504 0 0.0253757563927386 0 0.00557351465834355 0 0.000432683154779418 0.00253729828478636 0 0 0
"bala" 0 0.00948856627763545 0.00429110882251974 0.00173131193047051 0.00237222597824669 0.0253757563927386 0.0166315556048342 0 0.00148738695859115 0.00216341577389709 0.00253729828478636 0 0 0
"balandra" 0 0 0 0 0 0.0117118875658794 0 0 0 0 0 0 0 0
"balas" 0 0 0 0.00173131193047051 0.00118611298912334 0.0234237751317587 0 0 0.00297477391718229 0.00259609892867651 0.00152237897087182 0 0 0
"bandera" 0 0 0 0.000577103976823504 0.00593056494561672 0.0292797189146984 0 0 0.00297477391718229 0.00389414839301476 0.0233431442200345 0 0 0
"barco" 0 0.00316285542587848 0 0.00115420795364701 0 0.0566074565684169 0.00277192593413904 0 0.00594954783436459 0.000865366309558836 0.00304475794174363 0 0 0
"barcos" 0 0 0.00143036960750658 0 0 0.0800312317001757 0 0 0.00148738695859115 0 0.00608951588348726 0 0 0
"barlovento" 0 0 0 0 0 0.0117118875658794 0 0 0 0 0 0 0 0
"bastantes" 0.00189609404626469 0 0 0.00115420795364701 0 0.00975990630489947 0.00554385186827808 0 0.00297477391718229 0.000865366309558836 0 0 0.00361502403990987 0
