"avellaneda_sab_cuba" "bazan_various_spain" "carrasquilla_frutosDeMiTierra_colombia" "cuervo_apuntacionesCriticas_colombia" "diaz_manuela_colombia" "galdos_trafalgar_spain" "hernandez_martinFierro_argentina" "isaacs_maria_colombia" "lizardi_periquilloFull_mexico" "marmol_amalia_argentina" "martí_nuestraAmerica_cuba" "mitre_soledad_bolivia" "palacios_elAlferezReal_colombia" "samper_dolores_colombia"
"batalla" 0.00189609404626469 0.0126514217035139 0.00143036960750658 0.00346262386094103 0.00118611298912334 0.0390396252195979 0 0 0.00148738695859115 0.0194707419650738 0.0319699583883081 0.00949261948834781 0 0
"batería" 0 0 0 0.000577103976823504 0 0.0117118875658794 0 0 0 0.00259609892867651 0.000507459656957272 0 0 0
"baterías" 0 0 0 0.000577103976823504 0 0.00780792504391958 0 0 0 0.00129804946433825 0 0 0 0
"batiendo" 0.00189609404626469 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"bodega" 0 0.00316285542587848 0 0 0 0.0156158500878392 0 0 0.00148738695859115 0 0 0 0 0
"bombas" 0 0 0.00429110882251974 0 0 0.00975990630489947 0 0 0.00148738695859115 0.000865366309558836 0.000507459656957272 0 0 0
"bonaparte" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0.000507459656957272 0 0 0
"bordo" 0 0 0.00143036960750658 0.00230841590729402 0 0.0761272691782159 0 0.00557351465834355 0.00297477391718229 0.00302878208345593 0.00101491931391454 0 0 0
"botafuego" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"brigadier" 0 0 0 0 0 0.00975990630489947 0 0 0 0.00389414839301476 0.000507459656957272 0 0 0
"bucentauro" 0 0 0 0 0 0.0195198126097989 0 0 0 0 0 0 0 0
"buenos" 0.00758437618505878 0.00632571085175697 0.0157340656825724 0.0300094067948222 0.0130472428803568 0.00585594378293968 0.00831577780241712 0.00557351465834355 0.0327225130890052 0.128506896969487 0.0532832639805135 0.00949261948834781 0.00602504006651644 0.0051403310373188
"bum" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0 0 0 0
"buque" 0.00568828213879408 0 0.00143036960750658 0.000577103976823504 0 0.0839351942221355 0 0 0.00446216087577344 0.0047595147025736 0.00608951588348726 0 0 0
"buques" 0.00189609404626469 0 0 0 0.00118611298912334 0.0292797189146984 0 0 0 0.00216341577389709 0.00811935451131635 0 0 0
"buscando" 0.00568828213879408 0 0.00429110882251974 0.00230841590729402 0.00474445195649338 0.0175678313488191 0.0138596296706952 0.0334410879500613 0 0.00432683154779418 0.00304475794174363 0 0.00241001602660658 0.0051403310373188
"caballerito" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0 0 0 0
"caballo" 0.0948047023132347 0.0253028434070279 0.0243162833276119 0.0259696789570577 0.0106750169021101 0.00585594378293968 0.0859297039583102 0.0891762345334968 0.0371846739647787 0.047595147025736 0.0426266111844108 0.052209407185913 0.0807355368913203 0.0668243034851444
"cabo" 0.00189609404626469 0.00632571085175697 0.0128733264675592 0.00692524772188205 0.0106750169021101 0.0312317001756783 0.0166315556048342 0.00557351465834355 0.0148738695859115 0.00692293047647069 0.0106566527961027 0.0237315487208695 0.0108450721197296 0.0411226482985504
"cabos" 0 0.00316285542587848 0.00286073921501316 0.000577103976823504 0.00118611298912334 0.0156158500878392 0 0 0.00148738695859115 0 0.00101491931391454 0 0 0
"cádiz" 0 0 0 0.000577103976823504 0 0.126878781963693 0 0 0.00148738695859115 0.000432683154779418 0.000507459656957272 0 0 0
"caleta" 0 0 0 0 0 0.0214717938707788 0 0 0 0 0.000507459656957272 0 0 0
"calmado" 0 0 0.00143036960750658 0 0.00118611298912334 0.00585594378293968 0 0 0 0.000432683154779418 0.000507459656957272 0 0 0
"cámara" 0 0.00316285542587848 0 0.00115420795364701 0.00118611298912334 0.0429435877415577 0 0 0.00446216087577344 0.00129804946433825 0.0106566527961027 0 0.00120500801330329 0
"cañón" 0 0 0.00143036960750658 0.00173131193047051 0.00237222597824669 0.0331836814366582 0 0 0.00148738695859115 0.00389414839301476 0.00253729828478636 0.0047463097441739 0.00482003205321315 0
"cañonazo" 0 0 0 0 0 0.0156158500878392 0 0 0 0.00259609892867651 0 0 0 0
"cañonazos" 0 0 0.00143036960750658 0 0.00118611298912334 0.0117118875658794 0 0 0.00297477391718229 0.000432683154779418 0.00152237897087182 0 0 0
"cañones" 0 0 0 0.00173131193047051 0 0.0487995315244974 0.00277192593413904 0 0 0.00216341577389709 0.0035522175987009 0 0 0
"carpinteros" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0.00120500801330329 0
"casacones" 0 0 0 0 0 0.0156158500878392 0 0 0 0 0 0 0 0
"casco" 0 0.00316285542587848 0.00429110882251974 0.00115420795364701 0 0.0273277376537185 0 0 0.00148738695859115 0.000865366309558836 0.00304475794174363 0 0 0
"cercano" 0 0.00316285542587848 0 0.00115420795364701 0 0.0136638688268593 0.00277192593413904 0 0 0.00259609892867651 0.00304475794174363 0 0 0
"cesaba" 0 0 0.00143036960750658 0 0.00355833896737003 0.00780792504391958 0.00277192593413904 0 0 0 0 0 0.00120500801330329 0
"chicos" 0 0.00632571085175697 0.00429110882251974 0.00115420795364701 0.00237222597824669 0.0156158500878392 0.00554385186827808 0 0.00148738695859115 0 0 0 0 0
"churruca" 0 0 0 0 0 0.0468475502635175 0 0 0 0 0 0 0 0
"cierta" 0.0208570345089116 0.0284656988329063 0.0071518480375329 0.0126962874901171 0.00118611298912334 0.0331836814366582 0.00554385186827808 0.00557351465834355 0.00743693479295574 0.0095190294051472 0.00964173348218817 0.0047463097441739 0.0108450721197296 0.0359823172612316
"cirujano" 0 0.00316285542587848 0 0 0 0.00975990630489947 0 0 0.00594954783436459 0.000432683154779418 0 0 0.00120500801330329 0
"cisneros" 0 0 0 0 0 0.0117118875658794 0 0 0 0 0 0 0 0
"cisniega" 0 0 0 0 0 0.0117118875658794 0 0 0 0 0 0 0 0
"cojo" 0 0 0 0 0.00237222597824669 0.00780792504391958 0.00277192593413904 0 0.00297477391718229 0 0 0 0 0
"coleto" 0 0 0 0.00230841590729402 0 0.00585594378293968 0 0 0 0 0 0 0 0
"collingwood" 0 0 0 0 0 0.0175678313488191 0 0 0 0 0 0 0 0
"comandante" 0 0 0 0 0.00118611298912334 0.0507515127854773 0 0 0 0.0324512366084564 0.00101491931391454 0 0.00120500801330329 0
"combate" 0.00189609404626469 0.00316285542587848 0 0.000577103976823504 0.00355833896737003 0.121022838180753 0.00277192593413904 0 0.00148738695859115 0.00735561363125011 0.0152237897087182 0.0047463097441739 0 0
"combatientes" 0 0 0 0 0.00237222597824669 0.00975990630489947 0 0 0 0.000432683154779418 0.00202983862782909 0 0.00120500801330329 0
"combés" 0 0 0 0 0 0.0136638688268593 0 0 0 0 0 0 0 0
"combinada" 0 0 0 0.000577103976823504 0 0.0253757563927386 0 0 0 0.00129804946433825 0 0 0 0
"comentarios" 0 0 0 0.000577103976823504 0.00237222597824669 0.00780792504391958 0 0 0 0 0.00152237897087182 0 0 0
"comprenderá" 0 0.00948856627763545 0 0.00115420795364701 0 0.00780792504391958 0 0 0 0 0.000507459656957272 0 0 0
"comprendí" 0 0 0 0 0 0.0234237751317587 0 0 0 0 0 0 0.00482003205321315 0.0668243034851444
"consideraba" 0.00379218809252939 0.00316285542587848 0.00286073921501316 0 0 0.00975990630489947 0 0 0.00594954783436459 0.000432683154779418 0 0.0047463097441739 0.00120500801330329 0
"consistía" 0 0.00632571085175697 0.00143036960750658 0 0.00474445195649338 0.0214717938707788 0 0 0.00148738695859115 0 0 0 0.00482003205321315 0
"consternación" 0.00189609404626469 0 0 0 0 0.00780792504391958 0 0 0 0 0 0 0 0
"construiría" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"contemplando" 0 0 0 0.00115420795364701 0.00118611298912334 0.00780792504391958 0.00554385186827808 0 0 0.00173073261911767 0 0 0 0
"contramaestre" 0 0 0 0 0 0.00975990630489947 0 0 0.00148738695859115 0 0 0 0 0
"coraje" 0 0.00316285542587848 0 0 0 0.0136638688268593 0.00277192593413904 0 0.00297477391718229 0.00173073261911767 0.000507459656957272 0 0 0
"córdova" 0 0 0 0.00115420795364701 0 0.0117118875658794 0 0 0 0 0.000507459656957272 0 0 0
"corneta" 0 0 0 0.00230841590729402 0.00474445195649338 0.0195198126097989 0.00277192593413904 0 0 0.000432683154779418 0 0 0 0
"corrí" 0 0 0 0.000577103976823504 0 0.0175678313488191 0 0 0.00148738695859115 0 0 0 0 0.0051403310373188
"corría" 0.0132726583238529 0.00632571085175697 0.0100125872525461 0.000577103976823504 0.00593056494561672 0.0195198126097989 0 0 0.00297477391718229 0.00302878208345593 0.00202983862782909 0 0.00241001602660658 0.0102806620746376
"corrían" 0 0.00948856627763545 0.00429110882251974 0 0.00118611298912334 0.0136638688268593 0 0 0 0.00216341577389709 0.00101491931391454 0 0.00120500801330329 0
"corrimos" 0 0 0 0 0 0.00585594378293968 0 0 0.00297477391718229 0 0 0 0 0
"costa" 0.00379218809252939 0.00316285542587848 0.00286073921501316 0.00403972783776453 0 0.0351356626976381 0.00277192593413904 0.00557351465834355 0.0237981913374584 0.0155765935720591 0.02232822490612 0 0.00241001602660658 0
"costado" 0 0 0.00286073921501316 0.00230841590729402 0.00830279092386341 0.0253757563927386 0.00277192593413904 0 0.00446216087577344 0.00302878208345593 0.00304475794174363 0.0047463097441739 0 0
"costados" 0 0 0 0.000577103976823504 0.00593056494561672 0.0117118875658794 0 0 0.00148738695859115 0.000432683154779418 0.00202983862782909 0 0 0
"creí" 0.00189609404626469 0 0.0071518480375329 0.00288551988411752 0.00118611298912334 0.0195198126097989 0 0.0278675732917178 0.00297477391718229 0.00259609892867651 0.00101491931391454 0 0 0.0308419862239128
"creíamos" 0 0 0 0.00115420795364701 0 0.00780792504391958 0 0 0 0.000432683154779418 0 0 0 0
"creo" 0.0265453166477057 0.0189771325552709 0.00429110882251974 0.00403972783776453 0.0154194688586035 0.0487995315244974 0 0.00557351465834355 0.0133864826273203 0.0467297807161772 0.0035522175987009 0.0474630974417391 0.0313302083458855 0.0411226482985504
"cuadernas" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0 0 0 0
"cual" 0.09290860826697 0.0537685422399342 0.0972651333104474 0.0871427005003492 0.0699806663582773 0.111262931875854 0.0415788890120856 0.0891762345334968 0.0193360304616849 0.0224995240485297 0.0289252004465645 0.0332241682092173 0.0566353766252546 0.0411226482985504
"cuarenta" 0.0189609404626469 0 0.00572147843002632 0.00173131193047051 0.00711667793474006 0.0234237751317587 0.00554385186827808 0 0.00743693479295574 0.00908634625036778 0.00558205622652999 0 0.0120500801330329 0
"cubierta" 0.00948047023132347 0.00632571085175697 0.00286073921501316 0.00346262386094103 0.0118611298912334 0.037087643958618 0.00277192593413904 0 0.00446216087577344 0.00649024732169127 0.00507459656957272 0.0047463097441739 0.0120500801330329 0.0154209931119564
"cuerpo" 0.0417140690178233 0.0411171205364203 0.0214555441125987 0.0184673272583521 0.0213500338042202 0.0624634003513566 0.0194034815389733 0.00557351465834355 0.0252855782960495 0.0333166029180152 0.0329848777022227 0.0332241682092173 0.0156651041729427 0.0154209931119564
"cuerpos" 0.00189609404626469 0.00632571085175697 0 0.00288551988411752 0.00355833896737003 0.0234237751317587 0 0 0 0.00259609892867651 0.00152237897087182 0 0 0
"cuña" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"curiosidad" 0.0151687523701176 0.00948856627763545 0.00143036960750658 0.00288551988411752 0.00118611298912334 0.0195198126097989 0 0 0.00594954783436459 0.00519219785735302 0.00152237897087182 0.0047463097441739 0.00964006410642631 0.0051403310373188
"custodiaban" 0 0 0 0 0 0.00780792504391958 0 0 0 0 0 0 0.00120500801330329 0
"d" 0.102389078498294 0 0.00572147843002632 0.1252315629707 0.00118611298912334 0.18934218231505 0 0 0 0.00173073261911767 0.00761189485435908 0.365465850301391 0.00120500801330329 0.0051403310373188
"de" 5.1554797117937 5.48122845304741 4.80318114200709 5.1708516323386 5.52610041632566 5.00292797189147 3.11564474997228 5.78530821536061 4.59751308900524 5.87670260821406 6.84309347406881 4.84123593905738 5.48760649258318 4.79592885781844
"débora" 0 0 0 0 0 0.00975990630489947 0 0 0 0 0 0 0 0
"demostrando" 0 0.00316285542587848 0 0 0 0.00585594378293968 0 0 0 0 0.00101491931391454 0 0 0
"desahogo" 0.00189609404626469 0 0 0 0 0.00585594378293968 0 0 0.00148738695859115 0 0 0 0 0.0051403310373188
"desarbolado" 0 0 0 0 0 0.00780792504391958 0 0 0 0 0 0 0 0
"desastre" 0 0 0 0.000577103976823504 0 0.0195198126097989 0 0 0 0.000432683154779418 0.000507459656957272 0 0 0
"desastres" 0 0 0 0.00115420795364701 0 0.0136638688268593 0 0 0.00148738695859115 0 0.000507459656957272 0 0 0
"desastroso" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"desde" 0.0663632916192643 0.0759085302210836 0.0801006980203685 0.0530935658677624 0.0865862482060041 0.130782744485653 0.00554385186827808 0.111470293166871 0.0371846739647787 0.100382491908825 0.0507459656957272 0.0759409559067825 0.110860737223903 0.0668243034851444
"desesperación" 0.0170648464163823 0 0 0.000577103976823504 0.00118611298912334 0.0156158500878392 0 0.00557351465834355 0.00148738695859115 0.00216341577389709 0.00101491931391454 0.0047463097441739 0.00482003205321315 0.0411226482985504
"después" 0.108077360637088 0.107537084479868 0.0829614372353816 0.0502080459836449 0.113866846955841 0.203006051141909 0.00554385186827808 0.323263850183926 0.0743693479295574 0.14841032208934 0.0451639094691972 0.180359770278608 0.139780929543181 0.200472910455433
"destrozo" 0 0 0 0.000577103976823504 0 0.00780792504391958 0 0 0 0.000432683154779418 0 0 0 0
"desventuras" 0.00189609404626469 0 0 0 0 0.00780792504391958 0 0 0.00297477391718229 0 0.000507459656957272 0 0 0
"devoto" 0 0 0 0 0 0.00585594378293968 0 0 0.00148738695859115 0 0 0 0.00120500801330329 0
"dice" 0.0265453166477057 0.0158142771293924 0.0586451539077698 0.151778345904582 0.0521889715214271 0.0175678313488191 0.0138596296706952 0.00557351465834355 0.0342099000475964 0.0441336817875006 0.0710443519740181 0.0332241682092173 0.0397652644390085 0.0308419862239128
"difícilmente" 0 0.00316285542587848 0 0.000577103976823504 0 0.00780792504391958 0 0 0 0.000432683154779418 0 0 0 0
"díganme" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"digo" 0.00189609404626469 0.0126514217035139 0.0314681313651448 0.00692524772188205 0.0332111636954536 0.0448955690025376 0.072070074287615 0 0.0371846739647787 0.0168746430363973 0.00456713691261545 0.0047463097441739 0.0216901442394592 0.0051403310373188
"dijeron" 0 0.00316285542587848 0.00572147843002632 0.00346262386094103 0.00237222597824669 0.0234237751317587 0.00277192593413904 0.00557351465834355 0.010411708710138 0.00389414839301476 0.00202983862782909 0 0.00843505609312302 0.0308419862239128
"dionisio" 0 0 0 0.00115420795364701 0.00118611298912334 0.00780792504391958 0 0 0 0 0 0 0 0
"disparando" 0 0 0 0.000577103976823504 0.00118611298912334 0.00585594378293968 0.00277192593413904 0 0 0 0 0 0 0
"disparo" 0 0 0 0 0 0.00585594378293968 0 0 0 0 0 0 0 0
"disparó" 0 0 0 0 0.00237222597824669 0.0136638688268593 0.00277192593413904 0 0.00297477391718229 0 0 0.00949261948834781 0 0
"disparos" 0 0 0 0 0 0.00585594378293968 0 0 0 0.000432683154779418 0 0 0 0
"dispusieron" 0 0 0 0 0 0.00585594378293968 0 0 0 0.000432683154779418 0.000507459656957272 0.0047463097441739 0.00120500801330329 0
"diversa" 0 0 0.00143036960750658 0 0 0.00585594378293968 0 0 0 0 0.00101491931391454 0 0 0
"docenas" 0 0 0 0.00173131193047051 0 0.00780792504391958 0 0 0 0.00216341577389709 0 0 0 0
"don" 0.0511945392491468 0.0664199639434482 0.124442155853072 0.114843691387877 0.725901149343486 0.0195198126097989 0.0166315556048342 0.0111470293166871 0.10411708710138 0.385088007753682 0.0162387090226327 0 0.627809174931013 0.113087282821014
"doña" 0 0 0.0429110882251974 0.0155818073742346 0.0438861805975637 0.130782744485653 0 0 0.00297477391718229 0.0990844424444867 0.000507459656957272 0 0.275946835046453 0
"dumanoir" 0 0 0 0 0 0.00780792504391958 0 0 0 0 0 0 0 0
"durante" 0.0170648464163823 0.00948856627763545 0 0.00403972783776453 0.00593056494561672 0.0468475502635175 0.00277192593413904 0.105896778508527 0 0.010384395714706 0.0137014107378463 0.0047463097441739 0.0192801282128526 0.0411226482985504
"edad" 0.0151687523701176 0.0347914096846633 0.017164435290079 0.00981076760599957 0.00830279092386341 0.0409916064805778 0 0.0222940586333742 0.0223108043788672 0.0164419598816179 0.00862681416827362 0.0237315487208695 0.0253051682793691 0.0051403310373188
"embarcación" 0 0 0 0.00115420795364701 0 0.00975990630489947 0 0 0.00148738695859115 0.00389414839301476 0 0 0 0
"embustero" 0 0 0 0.000577103976823504 0.00118611298912334 0.0117118875658794 0 0 0.00148738695859115 0 0 0 0 0
"empeño" 0.00189609404626469 0 0.00286073921501316 0.00288551988411752 0.00711667793474006 0.0195198126097989 0.0110877037365562 0 0.00594954783436459 0.00432683154779418 0.00761189485435908 0 0.00482003205321315 0
"emperador" 0 0 0 0.00288551988411752 0.00118611298912334 0.0136638688268593 0 0 0 0.000865366309558836 0.00304475794174363 0 0 0
