,Source,Target,Weight,Type
1,doc 01,doc 02,2,undirected
2,doc 01,doc 12,3,undirected
3,doc 01,doc 14,1,undirected
4,doc 02,doc 01,2,undirected
5,doc 02,doc 03,3,undirected
6,doc 02,doc 06,3,undirected
7,doc 02,doc 07,2,undirected
8,doc 02,doc 08,3,undirected
9,doc 02,doc 09,1,undirected
10,doc 02,doc 12,2,undirected
11,doc 02,doc 14,4,undirected
12,doc 03,doc 02,3,undirected
13,doc 03,doc 04,3,undirected
14,doc 03,doc 05,3,undirected
15,doc 03,doc 07,2,undirected
16,doc 03,doc 13,2,undirected
17,doc 03,doc 14,1,undirected
18,doc 04,doc 03,3,undirected
19,doc 04,doc 05,2,undirected
20,doc 04,doc 09,1,undirected
21,doc 04,doc 11,2,undirected
22,doc 05,doc 03,3,undirected
23,doc 05,doc 04,2,undirected
24,doc 05,doc 06,1,undirected
25,doc 05,doc 09,2,undirected
26,doc 05,doc 10,1,undirected
27,doc 05,doc 11,3,undirected
28,doc 05,doc 13,3,undirected
29,doc 06,doc 02,3,undirected
30,doc 06,doc 05,1,undirected
31,doc 06,doc 09,2,undirected
32,doc 06,doc 12,1,undirected
33,doc 06,doc 14,2,undirected
34,doc 07,doc 02,2,undirected
35,doc 07,doc 03,2,undirected
36,doc 07,doc 08,1,undirected
37,doc 07,doc 09,3,undirected
38,doc 07,doc 14,3,undirected
39,doc 08,doc 02,3,undirected
40,doc 08,doc 07,1,undirected
41,doc 08,doc 12,4,undirected
42,doc 08,doc 14,6,undirected
43,doc 09,doc 02,1,undirected
44,doc 09,doc 04,1,undirected
45,doc 09,doc 05,2,undirected
46,doc 09,doc 06,2,undirected
47,doc 09,doc 07,3,undirected
48,doc 09,doc 13,1,undirected
49,doc 10,doc 05,1,undirected
50,doc 10,doc 11,3,undirected
51,doc 10,doc 13,2,undirected
52,doc 11,doc 04,2,undirected
53,doc 11,doc 05,3,undirected
54,doc 11,doc 10,3,undirected
55,doc 11,doc 13,1,undirected
56,doc 12,doc 01,3,undirected
57,doc 12,doc 02,2,undirected
58,doc 12,doc 06,1,undirected
59,doc 12,doc 08,4,undirected
60,doc 12,doc 14,5,undirected
61,doc 13,doc 03,2,undirected
62,doc 13,doc 05,3,undirected
63,doc 13,doc 09,1,undirected
64,doc 13,doc 10,2,undirected
65,doc 13,doc 11,1,undirected
66,doc 14,doc 01,1,undirected
67,doc 14,doc 02,4,undirected
68,doc 14,doc 03,1,undirected
69,doc 14,doc 06,2,undirected
70,doc 14,doc 07,3,undirected
71,doc 14,doc 08,6,undirected
72,doc 14,doc 12,5,undirected
