"","X8546L","X55497L"
"355",6449,32931
"356",3897,26022
"357",9079,52745
"358",3535,11695
"359",7637,33835
"360",14662,94569
"361",6365,25840
"362",5046,22551
"363",4805,20446
"364",2755,21522
"365",5547,27708
"366",10345,61989
"367",10264,71799
"368",13590,97042
"369",10269,71815
"370",2187,12234
"371",11381,75891
"372",1403,4806
"373",10393,66752
"374",5258,26324
"375",5661,27663
"376",3699,13142
"377",21409,98027
"378",4023,17184
"379",9668,64751
"380",7669,43022
"381",7750,47738
"382",5598,34480
"383",5384,32830
"384",8352,41461
"385",23818,373532
"386",13468,83565
"387",6396,37553
"388",7076,27557
"389",6357,26129
"390",7297,42621
"391",14807,95897
"392",11747,93294
"393",11168,116849
"394",8128,87155
"395",10397,63078
"396",9503,62605
"397",9658,59993
"398",9314,62485
"399",9411,60069
"400",9174,53697
"401",9210,51042
"402",9594,55771
"403",8942,58410
"404",13435,96014
"405",6264,25329
"406",8421,48940
"407",10621,61051
"408",17916,172547
"409",16305,127236
"410",16623,116074
"411",7922,41516
"412",10721,89246
"413",12761,74973
"414",12220,133213
"415",11062,82650
"416",12140,88429
"417",19931,233628
"418",8830,56959
"419",12337,65322
"420",9751,68729
"421",11187,81825
"422",13597,81077
"423",6984,39877
"424",17725,144225
"425",8223,59330
"426",4931,18452
"427",7042,49741
"428",12296,80644
"429",8565,40946
"430",12577,83913
"431",11665,83866
"432",17909,164613
"433",11007,71510
"434",9328,50003
"435",10135,58926
"436",8721,41898
"437",4841,26324
"438",10896,74708
"439",10036,52693
"440",8074,63846
"441",11503,88914
"442",10511,69914
"443",10809,81421
"444",15775,147631
"445",10934,60122
"446",5096,26631
"447",17778,172179
"448",8645,58257
"449",8240,60571
"450",7495,51530
"451",4170,30006
"452",11668,177856
"453",12049,177371
"454",6136,64817
"455",4044,31403
"456",5984,29041
"457",23288,824159
"458",6824,36094
"459",4312,55707
"460",5636,29086
"461",4938,20733
"462",7564,34856
