,Source,Target,Weight,Type
1,avellaneda_sab_cuba,bazan_various_spain,3,undirected
2,avellaneda_sab_cuba,colombia_isaacs_maria,3,undirected
3,avellaneda_sab_cuba,mitre_soledad_bolivia,5,undirected
4,avellaneda_sab_cuba,samper_dolores_colombia,1,undirected
5,bazan_various_spain,avellaneda_sab_cuba,3,undirected
6,bazan_various_spain,colombia_isaacs_maria,3,undirected
7,bazan_various_spain,diaz_manuela_colombia,5,undirected
8,bazan_various_spain,galdos_trafalgar_spain,5,undirected
9,bazan_various_spain,hernandez_martinFierro_argentina,3,undirected
10,bazan_various_spain,lizardi_periquilloFull_mexico,1,undirected
11,bazan_various_spain,marmol_amalia_argentina,2,undirected
12,bazan_various_spain,mitre_soledad_bolivia,2,undirected
13,bazan_various_spain,palacios_elAlferezReal_colombia,3,undirected
14,bazan_various_spain,samper_dolores_colombia,3,undirected
15,colombia_isaacs_maria,avellaneda_sab_cuba,3,undirected
16,colombia_isaacs_maria,bazan_various_spain,3,undirected
17,colombia_isaacs_maria,samper_dolores_colombia,1,undirected
18,diaz_manuela_colombia,bazan_various_spain,5,undirected
19,diaz_manuela_colombia,galdos_trafalgar_spain,1,undirected
20,diaz_manuela_colombia,hernandez_martinFierro_argentina,1,undirected
21,diaz_manuela_colombia,lizardi_periquilloFull_mexico,4,undirected
22,diaz_manuela_colombia,marmol_amalia_argentina,3,undirected
23,diaz_manuela_colombia,mitre_soledad_bolivia,1,undirected
24,diaz_manuela_colombia,palacios_elAlferezReal_colombia,6,undirected
25,galdos_trafalgar_spain,bazan_various_spain,5,undirected
26,galdos_trafalgar_spain,diaz_manuela_colombia,1,undirected
27,galdos_trafalgar_spain,lizardi_periquilloFull_mexico,4,undirected
28,galdos_trafalgar_spain,palacios_elAlferezReal_colombia,1,undirected
29,galdos_trafalgar_spain,samper_dolores_colombia,2,undirected
30,hernandez_martinFierro_argentina,bazan_various_spain,3,undirected
31,hernandez_martinFierro_argentina,diaz_manuela_colombia,1,undirected
32,hernandez_martinFierro_argentina,lizardi_periquilloFull_mexico,2,undirected
33,lizardi_periquilloFull_mexico,bazan_various_spain,1,undirected
34,lizardi_periquilloFull_mexico,diaz_manuela_colombia,4,undirected
35,lizardi_periquilloFull_mexico,galdos_trafalgar_spain,4,undirected
36,lizardi_periquilloFull_mexico,hernandez_martinFierro_argentina,2,undirected
37,marmol_amalia_argentina,bazan_various_spain,2,undirected
38,marmol_amalia_argentina,diaz_manuela_colombia,3,undirected
39,marmol_amalia_argentina,palacios_elAlferezReal_colombia,1,undirected
40,mitre_soledad_bolivia,avellaneda_sab_cuba,5,undirected
41,mitre_soledad_bolivia,bazan_various_spain,2,undirected
42,mitre_soledad_bolivia,diaz_manuela_colombia,1,undirected
43,palacios_elAlferezReal_colombia,bazan_various_spain,3,undirected
44,palacios_elAlferezReal_colombia,diaz_manuela_colombia,6,undirected
45,palacios_elAlferezReal_colombia,galdos_trafalgar_spain,1,undirected
46,palacios_elAlferezReal_colombia,marmol_amalia_argentina,1,undirected
47,samper_dolores_colombia,avellaneda_sab_cuba,1,undirected
48,samper_dolores_colombia,bazan_various_spain,3,undirected
49,samper_dolores_colombia,colombia_isaacs_maria,1,undirected
50,samper_dolores_colombia,galdos_trafalgar_spain,2,undirected
